x;f(x);pn(x)
  1.0000;  0.5403;  0.5403
  1.7000; -0.1288; -0.1288
  2.4000; -0.7374; -0.7374
  3.1000; -0.9991; -0.9991
  3.8000; -0.7910; -0.7910
  4.5000; -0.2108; -0.2108
